wall_time,sim_time,symbol,last_price,last_size,trade_detected,vwap,mid,bar_close,macd_line,signal_line,histogram
2026-04-02T14:12:28.053315,2025-04-10 09:30:14,MSFT,382.1300,1,0,,382.1900,,,,
2026-04-02T14:12:29.055352,2025-04-10 09:30:16,MSFT,382.0400,1,1,382.0400,381.9900,,,,
2026-04-02T14:12:30.064701,2025-04-10 09:30:17,MSFT,381.9700,1,1,382.0050,382.1750,,,,
2026-04-02T14:12:31.066890,2025-04-10 09:30:18,MSFT,382.1700,1,1,382.0600,382.1650,,,,
2026-04-02T14:12:32.069712,2025-04-10 09:30:19,MSFT,382.0200,1,1,382.0500,381.9550,,,,
2026-04-02T14:12:33.073539,2025-04-10 09:30:20,MSFT,381.8300,1,1,382.0060,381.8250,381.8250,,,
2026-04-02T14:12:34.075262,2025-04-10 09:30:21,MSFT,381.9000,1,1,381.9883,382.0100,,,,
2026-04-02T14:12:35.081321,2025-04-10 09:30:22,MSFT,382.0100,1,1,381.9914,382.0100,,,,
2026-04-02T14:12:36.085009,2025-04-10 09:30:23,MSFT,381.9000,1,1,381.9800,381.9850,,,,
2026-04-02T14:12:37.089906,2025-04-10 09:30:24,MSFT,381.8000,1,1,381.9600,381.7250,,,,
2026-04-02T14:12:38.094331,2025-04-10 09:30:25,MSFT,381.8300,1,1,381.9470,381.7250,381.7250,,,
2026-04-02T14:12:39.097792,2025-04-10 09:30:26,MSFT,381.8700,1,1,381.9400,381.8650,,,,
2026-04-02T14:12:40.103599,2025-04-10 09:30:27,MSFT,381.9600,1,1,381.9417,381.8700,,,,
2026-04-02T14:12:41.103258,2025-04-10 09:30:28,MSFT,381.7400,1,1,381.9262,381.7400,,,,
2026-04-02T14:12:42.106111,2025-04-10 09:30:29,MSFT,381.5900,1,1,381.9021,381.5850,,,,
2026-04-02T14:12:43.111399,2025-04-10 09:30:30,MSFT,381.7000,2,1,381.8769,381.6150,381.6150,,,
2026-04-02T14:12:44.111715,2025-04-10 09:30:31,MSFT,381.7000,1,0,381.8769,381.8150,,,,
2026-04-02T14:12:45.115812,2025-04-10 09:30:32,MSFT,381.7000,1,0,381.8769,381.7000,,,,
2026-04-02T14:12:46.117137,2025-04-10 09:30:33,MSFT,381.6700,1,1,381.8647,381.6550,,,,
2026-04-02T14:12:47.118667,2025-04-10 09:30:34,MSFT,381.6600,1,1,381.8533,381.6550,,,,
2026-04-02T14:12:48.119715,2025-04-10 09:30:35,MSFT,381.9300,1,1,381.8574,381.8800,381.8800,,,
2026-04-02T14:12:49.120331,2025-04-10 09:30:36,MSFT,381.7200,1,1,381.8505,381.7150,,,,
2026-04-02T14:12:50.128317,2025-04-10 09:30:37,MSFT,381.7400,1,1,381.8452,381.7150,,,,
2026-04-02T14:12:51.130919,2025-04-10 09:30:38,MSFT,381.8600,4,1,381.8476,381.7100,,,,
2026-04-02T14:12:52.140723,2025-04-10 09:30:39,MSFT,381.7100,1,1,381.8423,381.7050,,,,
2026-04-02T14:12:53.147220,2025-04-10 09:30:40,MSFT,381.5700,1,1,381.8322,381.5900,381.5900,,,
2026-04-02T14:12:54.148676,2025-04-10 09:30:41,MSFT,381.6700,1,1,381.8264,381.6850,,,,
2026-04-02T14:12:55.151392,2025-04-10 09:30:42,MSFT,381.5900,1,1,381.8183,381.6550,,,,
2026-04-02T14:12:56.160386,2025-04-10 09:30:43,MSFT,381.8400,1,1,381.8190,381.9550,,,,
2026-04-02T14:12:57.160291,2025-04-10 09:30:44,MSFT,381.8600,1,1,381.8203,381.8600,,,,
2026-04-02T14:12:58.164340,2025-04-10 09:30:45,MSFT,381.9100,1,1,381.8231,381.9050,381.9050,,,
2026-04-02T14:12:59.167681,2025-04-10 09:30:46,MSFT,381.9100,1,0,381.8231,381.9050,,,,
2026-04-02T14:13:00.171423,2025-04-10 09:30:47,MSFT,381.9800,1,1,381.8279,381.9100,,,,
2026-04-02T14:13:01.175811,2025-04-10 09:30:48,MSFT,381.8000,1,1,381.8271,381.7900,,,,
2026-04-02T14:13:02.180370,2025-04-10 09:30:49,MSFT,381.8400,1,1,381.8274,381.8750,,,,
2026-04-02T14:13:03.181469,2025-04-10 09:30:50,MSFT,381.6900,1,1,381.8236,381.6500,381.6500,,,
2026-04-02T14:13:04.186243,2025-04-10 09:30:51,MSFT,381.3000,2,1,381.7961,381.3000,,,,
2026-04-02T14:13:05.190682,2025-04-10 09:30:52,MSFT,381.1100,1,1,381.7785,381.1000,,,,
2026-04-02T14:13:06.196838,2025-04-10 09:30:53,MSFT,381.1000,1,1,381.7615,381.0950,,,,
2026-04-02T14:13:07.201230,2025-04-10 09:30:54,MSFT,381.1000,1,0,381.7615,381.0550,,,,
2026-04-02T14:13:08.204575,2025-04-10 09:30:55,MSFT,381.2200,1,1,381.7483,381.2900,381.2900,,,
2026-04-02T14:13:09.208696,2025-04-10 09:30:56,MSFT,381.1500,1,1,381.7340,381.1050,,,,
2026-04-02T14:13:10.214179,2025-04-10 09:30:57,MSFT,381.0900,1,1,381.7191,381.0900,,,,
2026-04-02T14:13:11.218751,2025-04-10 09:30:58,MSFT,381.1000,1,1,381.7050,381.0900,,,,
2026-04-02T14:13:12.222975,2025-04-10 09:30:59,MSFT,381.2200,1,1,381.6942,381.2200,,,,
2026-04-02T14:13:13.263610,2025-04-10 09:31:00,MSFT,381.2400,1,1,381.6843,381.2400,381.2400,,,
2026-04-02T14:13:14.233267,2025-04-10 09:31:01,MSFT,381.3100,1,1,381.6764,381.3100,,,,
2026-04-02T14:13:15.240025,2025-04-10 09:31:02,MSFT,381.4800,4,1,381.6610,381.4700,,,,
2026-04-02T14:13:16.240150,2025-04-10 09:31:03,MSFT,381.4600,1,1,381.6571,381.4450,,,,
2026-04-02T14:13:17.245164,2025-04-10 09:31:04,MSFT,381.4000,2,1,381.6476,381.2850,,,,
2026-04-02T14:13:18.242844,2025-04-10 09:31:05,MSFT,381.0000,1,1,381.6358,381.1000,381.1000,,,
2026-04-02T14:13:19.253324,2025-04-10 09:31:06,MSFT,380.8300,1,1,381.6214,380.9000,,,,
2026-04-02T14:13:20.251583,2025-04-10 09:31:07,MSFT,380.7400,1,1,381.6060,380.7300,,,,
2026-04-02T14:13:21.257323,2025-04-10 09:31:08,MSFT,380.7400,1,0,381.6060,380.7350,,,,
2026-04-02T14:13:22.259852,2025-04-10 09:31:09,MSFT,380.7000,1,1,381.5903,380.7350,,,,
2026-04-02T14:13:23.286907,2025-04-10 09:31:10,MSFT,380.7400,1,1,381.5759,380.7300,380.7300,,,
2026-04-02T14:13:24.287499,2025-04-10 09:31:11,MSFT,380.7100,1,1,381.5615,380.7100,,,,
2026-04-02T14:13:25.303730,2025-04-10 09:31:13,MSFT,380.5600,1,1,381.5451,380.6050,,,,
2026-04-02T14:13:26.300611,2025-04-10 09:31:14,MSFT,380.6900,3,1,381.5050,380.6850,,,,
2026-04-02T14:13:27.330506,2025-04-10 09:31:14,MSFT,380.6900,1,0,381.5050,380.6850,,,,
2026-04-02T14:13:28.313420,2025-04-10 09:31:15,MSFT,380.6900,2,1,381.4925,380.7300,380.7300,,,
2026-04-02T14:13:29.311103,2025-04-10 09:31:17,MSFT,380.7500,1,1,381.4812,380.7450,,,,
2026-04-02T14:13:30.326634,2025-04-10 09:31:18,MSFT,380.6300,1,1,381.4685,380.6150,,,,
2026-04-02T14:13:31.316012,2025-04-10 09:31:19,MSFT,380.4400,1,1,381.4534,380.3450,,,,
2026-04-02T14:13:32.318499,2025-04-10 09:31:20,MSFT,380.2400,1,1,381.4358,380.2200,,,,
2026-04-02T14:13:33.318443,2025-04-10 09:31:21,MSFT,380.3200,1,1,381.4199,380.2150,380.2150,,,
2026-04-02T14:13:34.321742,2025-04-10 09:31:22,MSFT,379.9800,1,1,381.3996,380.0350,,,,
2026-04-02T14:13:35.332390,2025-04-10 09:31:22,MSFT,379.9700,1,1,381.3797,379.8850,,,,
2026-04-02T14:13:36.342890,2025-04-10 09:31:24,MSFT,380.0600,1,1,381.3616,380.0550,,,,
2026-04-02T14:13:37.336493,2025-04-10 09:31:25,MSFT,380.1800,1,1,381.3457,380.1800,,,,
2026-04-02T14:13:38.343431,2025-04-10 09:31:26,MSFT,380.3700,1,1,381.3327,380.3700,380.3700,,,
2026-04-02T14:13:39.388584,2025-04-10 09:31:27,MSFT,380.3500,1,1,381.3197,380.3450,,,,
2026-04-02T14:13:40.365322,2025-04-10 09:31:28,MSFT,380.4400,1,1,381.3083,380.3450,,,,
2026-04-02T14:13:41.370156,2025-04-10 09:31:29,MSFT,380.2100,1,1,381.2942,380.1600,,,,
2026-04-02T14:13:42.376948,2025-04-10 09:31:30,MSFT,380.1600,1,1,381.2799,380.1600,,,,
2026-04-02T14:13:43.380199,2025-04-10 09:31:31,MSFT,380.2500,1,1,381.2670,380.2500,380.2500,,,
2026-04-02T14:13:44.385405,2025-04-10 09:31:32,MSFT,380.1600,1,1,381.2533,380.1500,,,,
2026-04-02T14:13:45.387334,2025-04-10 09:31:33,MSFT,380.1600,1,0,381.2533,380.1500,,,,
2026-04-02T14:13:46.389441,2025-04-10 09:31:34,MSFT,380.1600,1,0,381.2533,380.1500,,,,
2026-04-02T14:13:47.395056,2025-04-10 09:31:35,MSFT,380.2500,2,1,381.2292,380.1650,,,,
2026-04-02T14:13:48.426122,2025-04-10 09:31:36,MSFT,380.0800,1,1,381.2155,380.0400,380.0400,,,
2026-04-02T14:13:49.429650,2025-04-10 09:31:37,MSFT,380.2400,1,1,381.2040,380.2350,,,,
2026-04-02T14:13:50.442702,2025-04-10 09:31:38,MSFT,380.3200,1,1,381.1937,380.3150,,,,
2026-04-02T14:13:51.429679,2025-04-10 09:31:39,MSFT,380.2500,1,1,381.1829,380.2600,,,,
2026-04-02T14:13:52.441152,2025-04-10 09:31:40,MSFT,380.1100,1,1,381.1707,380.1100,,,,
2026-04-02T14:13:53.439906,2025-04-10 09:31:41,MSFT,380.0400,6,1,381.0985,379.9950,379.9950,,,
2026-04-02T14:13:54.443558,2025-04-10 09:31:42,MSFT,380.0600,1,1,381.0876,380.0600,,,,
2026-04-02T14:13:55.440771,2025-04-10 09:31:43,MSFT,380.2200,1,1,381.0785,380.2100,,,,
2026-04-02T14:13:56.443227,2025-04-10 09:31:44,MSFT,380.2100,1,1,381.0696,380.2100,,,,
2026-04-02T14:13:57.444537,2025-04-10 09:31:45,MSFT,380.1100,1,1,381.0598,380.1050,,,,
2026-04-02T14:13:58.444961,2025-04-10 09:31:46,MSFT,380.1100,8,1,380.9965,380.1200,380.1200,,,
2026-04-02T14:13:59.449529,2025-04-10 09:31:47,MSFT,379.7900,1,1,380.9851,379.7250,,,,
2026-04-02T14:14:00.451058,2025-04-10 09:31:48,MSFT,379.6000,2,1,380.9594,379.5850,,,,
2026-04-02T14:14:01.452987,2025-04-10 09:31:49,MSFT,379.8200,1,1,380.9490,379.6850,,,,
2026-04-02T14:14:02.457178,2025-04-10 09:31:50,MSFT,379.5600,1,1,380.9364,379.6350,,,,
2026-04-02T14:14:03.461105,2025-04-10 09:31:51,MSFT,379.5300,1,1,380.9237,379.5000,379.5000,,,
2026-04-02T14:14:04.475865,2025-04-10 09:31:52,MSFT,379.8200,1,1,380.9138,379.7650,,,,
2026-04-02T14:14:05.468686,2025-04-10 09:31:53,MSFT,379.7600,1,1,380.9036,379.8200,,,,
2026-04-02T14:14:06.470531,2025-04-10 09:31:54,MSFT,379.7700,1,1,380.8937,379.7650,,,,
2026-04-02T14:14:07.481692,2025-04-10 09:31:55,MSFT,379.7700,1,0,380.8937,379.7600,,,,
2026-04-02T14:14:08.624809,2025-04-10 09:31:56,MSFT,379.7500,1,1,380.8837,379.6850,379.6850,,,
2026-04-02T14:14:09.628573,2025-04-10 09:31:57,MSFT,379.6500,2,1,380.8626,379.6350,,,,
2026-04-02T14:14:10.623773,2025-04-10 09:31:58,MSFT,379.8700,1,1,380.8542,379.8250,,,,
2026-04-02T14:14:11.629980,2025-04-10 09:31:59,MSFT,379.8300,6,1,380.8047,379.9550,,,,
2026-04-02T14:14:12.634426,2025-04-10 09:32:00,MSFT,380.0000,2,1,380.7919,380.0150,,,,
2026-04-02T14:14:13.636042,2025-04-10 09:32:01,MSFT,379.8400,1,1,380.7844,379.8550,379.8550,,,
2026-04-02T14:14:14.641430,2025-04-10 09:32:02,MSFT,381.1300,2,1,380.7898,379.8100,,,,
2026-04-02T14:14:15.639553,2025-04-10 09:32:03,MSFT,379.7700,3,1,380.7666,379.8550,,,,
2026-04-02T14:14:16.641695,2025-04-10 09:32:04,MSFT,379.8600,2,1,380.7531,379.8550,,,,
2026-04-02T14:14:17.717427,2025-04-10 09:32:05,MSFT,380.1000,1,1,380.7482,380.1200,,,,
2026-04-02T14:14:18.681617,2025-04-10 09:32:06,MSFT,380.1300,1,1,380.7437,380.0550,380.0550,,,
2026-04-02T14:14:19.688064,2025-04-10 09:32:07,MSFT,380.4200,1,1,380.7413,380.4850,,,,
2026-04-02T14:14:20.691282,2025-04-10 09:32:08,MSFT,380.3000,1,1,380.7381,380.2550,,,,
2026-04-02T14:14:21.691073,2025-04-10 09:32:09,MSFT,380.3600,1,1,380.7354,380.3700,,,,
2026-04-02T14:14:22.691839,2025-04-10 09:32:10,MSFT,380.4600,1,1,380.7334,380.4600,,,,
