wall_time,sim_time,symbol,last_price,last_size,trade_detected,vwap,mid,bar_close,macd_line,signal_line,histogram
2026-04-02T14:12:28.049755,2025-04-10 09:30:14,AAPL,189.2100,2,0,,189.1550,,,,
2026-04-02T14:12:29.053957,2025-04-10 09:30:16,AAPL,189.0500,1,1,189.0500,189.0400,,,,
2026-04-02T14:12:30.062706,2025-04-10 09:30:17,AAPL,189.3200,1,1,189.1850,189.4200,,,,
2026-04-02T14:12:31.065842,2025-04-10 09:30:18,AAPL,189.3400,1,1,189.2367,189.3350,,,,
2026-04-02T14:12:32.068374,2025-04-10 09:30:19,AAPL,189.3600,1,1,189.2675,189.3600,,,,
2026-04-02T14:12:33.073056,2025-04-10 09:30:20,AAPL,189.3500,1,1,189.2840,189.3950,189.3950,,,
2026-04-02T14:12:34.074548,2025-04-10 09:30:21,AAPL,189.8000,10,1,189.6280,189.8050,,,,
2026-04-02T14:12:35.079220,2025-04-10 09:30:22,AAPL,189.7800,1,1,189.6375,189.8000,,,,
2026-04-02T14:12:36.083799,2025-04-10 09:30:23,AAPL,189.7900,1,1,189.6465,189.7650,,,,
2026-04-02T14:12:37.088886,2025-04-10 09:30:24,AAPL,189.7300,1,1,189.6511,189.7250,,,,
2026-04-02T14:12:38.093184,2025-04-10 09:30:25,AAPL,189.4500,1,1,189.6405,189.4600,189.4600,,,
2026-04-02T14:12:39.096460,2025-04-10 09:30:26,AAPL,189.5000,1,1,189.6335,189.5850,,,,
2026-04-02T14:12:40.101041,2025-04-10 09:30:27,AAPL,189.6600,1,1,189.6348,189.6550,,,,
2026-04-02T14:12:41.102213,2025-04-10 09:30:28,AAPL,189.8300,1,1,189.6436,189.8400,,,,
2026-04-02T14:12:42.105170,2025-04-10 09:30:29,AAPL,189.7000,1,1,189.6461,189.6600,,,,
2026-04-02T14:12:43.110300,2025-04-10 09:30:30,AAPL,189.8000,1,1,189.6525,189.8000,189.8000,,,
2026-04-02T14:12:44.110784,2025-04-10 09:30:31,AAPL,189.9700,1,1,189.6652,189.9500,,,,
2026-04-02T14:12:45.114184,2025-04-10 09:30:32,AAPL,190.0700,13,1,189.8037,190.0250,,,,
2026-04-02T14:12:46.115904,2025-04-10 09:30:33,AAPL,189.9100,3,1,189.8115,189.9050,,,,
2026-04-02T14:12:47.117676,2025-04-10 09:30:34,AAPL,189.8900,1,1,189.8133,189.9200,,,,
2026-04-02T14:12:48.118844,2025-04-10 09:30:35,AAPL,189.9200,1,1,189.8158,189.8950,189.8950,,,
2026-04-02T14:12:49.119324,2025-04-10 09:30:36,AAPL,189.8600,7,1,189.8220,189.8600,,,,
2026-04-02T14:12:50.126631,2025-04-10 09:30:37,AAPL,189.8800,1,1,189.8231,189.8750,,,,
2026-04-02T14:12:51.130050,2025-04-10 09:30:38,AAPL,189.7600,1,1,189.8219,189.8100,,,,
2026-04-02T14:12:52.137885,2025-04-10 09:30:39,AAPL,189.8200,1,1,189.8219,189.8600,,,,
2026-04-02T14:12:53.144102,2025-04-10 09:30:40,AAPL,189.7000,1,1,189.8196,189.7550,189.7550,,,
2026-04-02T14:12:54.147357,2025-04-10 09:30:41,AAPL,189.5900,5,1,189.8002,189.6900,,,,
2026-04-02T14:12:55.150888,2025-04-10 09:30:42,AAPL,189.6400,1,1,189.7975,189.6800,,,,
2026-04-02T14:12:56.158128,2025-04-10 09:30:43,AAPL,190.0300,1,1,189.8013,190.0250,,,,
2026-04-02T14:12:57.159354,2025-04-10 09:30:44,AAPL,189.9000,1,1,189.8029,189.9000,,,,
2026-04-02T14:12:58.163050,2025-04-10 09:30:45,AAPL,190.0100,1,1,189.8062,190.0050,190.0050,,,
2026-04-02T14:12:59.167064,2025-04-10 09:30:46,AAPL,189.9200,1,1,189.8080,189.8950,,,,
2026-04-02T14:13:00.169830,2025-04-10 09:30:47,AAPL,189.9000,1,1,189.8094,189.8750,,,,
2026-04-02T14:13:01.175267,2025-04-10 09:30:48,AAPL,189.9600,1,1,189.8117,189.9150,,,,
2026-04-02T14:13:02.179714,2025-04-10 09:30:49,AAPL,189.9900,5,1,189.8242,190.0450,,,,
2026-04-02T14:13:03.180472,2025-04-10 09:30:50,AAPL,189.9200,10,1,189.8360,189.9150,189.9150,,,
