timestamp,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10
1774130593.6193068,443.0000,10,442.6900,3,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,445.3800,10,445.7600,1,447.6300,6,448.1900,10,448.8300,17,448.8400,6,449.0000,15,452.5100,3,453.5900,2,0.0000,0
1774130594.6298606,443.0000,11,442.6900,3,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,445.3800,10,445.7600,1,447.6300,6,448.1900,10,448.8300,17,448.8400,6,449.0000,15,452.5100,3,453.5900,2,0.0000,0
1774130595.6319368,443.0000,11,442.6900,3,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,445.3800,10,445.7600,1,447.6300,6,448.1900,10,448.8300,17,448.8400,6,449.0000,15,452.5100,3,453.5900,2,0.0000,0
1774130596.6346352,443.0000,11,442.6900,3,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,445.3800,10,445.7600,1,447.6300,6,448.1900,10,448.8300,17,448.8400,6,449.0000,15,452.5100,3,453.5900,2,0.0000,0
1774130597.6402123,443.0000,11,442.6900,3,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,445.3800,10,445.7600,1,447.6300,6,448.1900,10,448.8300,17,448.8400,6,449.0000,15,452.5100,3,453.5900,2,0.0000,0
1774130598.6484263,443.0000,11,442.6900,3,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,445.3800,10,445.7600,1,447.6300,6,448.1900,10,448.8300,17,448.8400,6,449.0000,15,452.5100,3,453.5900,2,0.0000,0
1774130599.651778,443.0000,11,442.6900,3,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,445.3800,10,445.7600,1,447.6300,6,448.1900,10,448.8300,17,448.8400,6,449.0000,15,452.5100,3,453.5900,2,0.0000,0
1774130600.655913,443.0000,11,442.6900,3,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,445.3800,9,445.7600,1,447.6300,6,448.1900,10,448.8300,17,448.8400,6,449.0000,15,452.5100,3,453.5900,2,0.0000,0
1774130601.6567893,444.6200,8,443.1100,5,443.0000,11,442.6900,3,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,448.0800,5,448.5100,3,448.5200,5,448.5300,3,448.5400,6,448.5500,3,448.8300,17,448.8400,6,449.0000,15,452.5100,3
1774130602.663861,444.6200,9,443.1100,5,443.0000,11,442.6900,3,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,448.0800,8,448.5100,3,448.5200,5,448.5300,3,448.5400,6,448.5500,3,448.8300,17,448.8400,6,449.0000,15,452.5100,3
1774130603.6694877,444.6200,12,443.1100,5,443.0000,11,442.6900,3,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,448.0800,8,448.5100,3,448.5200,5,448.5300,3,448.5400,6,448.5500,3,448.8300,17,448.8400,6,449.0000,15,452.5100,3
